("cpf_cnpj","nome","endereco","email","celular","operador","datatual") VALUES
,("123456789012345","Fornecedor de testes  rarara","","emaildeteste@gmail.com","(11) 11111-1111",99,"2026-01-05 00:00:00")
,("45.987.321/0001-55","Alpha Distribuidora","Rua das Flores, 320 - Rio de Janeiro/RJ","vendas@alphadistribuidora.com","(21) 97777-2002",99,"2026-01-05 00:00:00")
,("28.445.112/0001-08","Mega Imports","Rua Central, 450 - Curitiba/PR","contato@megaimports.com","(41) 99666-3003",103,"2025-01-12 14:10:00")
,("33.889.777/0001-44","Comercial Andrade","Av. Tiradentes, 2100 - Belo Horizonte/MG","suporte@comercialandrade.com","(31) 98555-4004",104,"2025-01-13 08:50:00")
,("50.112.334/0001-76","Moura Representações","Rua Verde, 980 - Porto Alegre/RS","contato@moura.com","(51) 98444-5005",105,"2025-01-14 11:45:00")
,("71.225.449/0001-90","Global Trade BR","Alameda Santos, 2200 - São Paulo/SP","info@globaltrade.com","(11) 98333-6006",106,"2025-01-15 16:25:00")
,("89.445.123/0001-22","Maxi Eletrônicos","Rua do Comércio, 780 - Salvador/BA","contato@maxieletronicos.com","(71) 99222-7007",107,"2025-01-16 09:40:00")
,(22.334.556/0001-60","Santos & Filhos","Av. Brasil, 1200 - Recife/PE","vendas@santosefilhos.com","(81) 99111-8008",108,"2025-01-17 13:55:00")
,(14.785.222/0001-75","Distribuidora Lima","Rua Oswaldo Cruz, 330 - Fortaleza/CE","contato@distrilima.com","(85) 99000-9009",109,"2025-01-18 11:00:00")
,("08.999.444/0001-11","Premium Supply","Rua Diamante, 210 - Manaus/AM","info@premiumsupply.com","(92) 98989-1000",110,"2025-01-19 15:30:00")
,("123.456.789-10","Carlos Silva","Rua Olinda, 120 - São Paulo/SP","carlos.silva@gmail.com","(11) 98765-4321",101,"2025-01-20 09:10:00")
,("987.654.321-00","Maria Oliveira","Rua das Acácias, 455 - Campinas/SP","maria.oliveira@hotmail.com","(19) 99876-5432",102,"2025-01-21 10:55:00")
,("111.222.333-44","João Pereira","Av. Brasil, 840 - Rio de Janeiro/RJ","joaop@hotmail.com","(21) 98711-2200",103,"2025-01-22 14:45:00")
,("222.333.444-55","Ana Costa","Rua Projetada, 300 - Curitiba/PR","ana.costa@yahoo.com","(41) 99555-1122",104,"2025-01-23 17:20:00")
,("333.444.555-66","Ricardo Rocha","Rua Nova, 900 - Brasília/DF","ricardo.rocha@gmail.com","(61) 99444-2233",105,"2025-01-24 08:30:00")
,("444.555.666-77","Fernanda Gomes","Av. Atlântica, 720 - Balneário Camboriú/SC","fernandag@gmail.com","(47) 99333-4455",106,"2025-01-25 11:40:00")
,("555.666.777-88","Eduardo Almeida","Rua dos Lírios, 110 - Vitória/ES","edu.almeida@gmail.com","(27) 99222-5566",107,"2025-01-26 16:15:00")
,("666.777.888-99","Paula Mendes","Rua Azul, 41 - Goiânia/GO","paula.mendes@gmail.com","(62) 99111-6677",108,"2025-01-27 09:50:00")
,("777.888.999-00","Vinícius Ramos","Rua Verde, 200 - Natal/RN","vinicius.r@gmail.com","(84) 99000-7788",109,"2025-01-28 14:05:00")
,("888.999.000-11","Patrícia Martins","Av. Sol, 1000 - João Pessoa/PB","patricia.m@gmail.com","(83) 99888-8899",110,"2025-01-29 10:30:00")
,("59.774.331/0001-15","Nova Era Distribuidora","Rua do Comércio, 780 - Belém/PA","contato@novaera.com","(91) 98989-1212",101,"2025-01-30 16:45:00")
,("74.112.998/0001-80","Global Parts","Av. Central, 560 - Florianópolis/SC","vendas@globalparts.com","(48) 99876-3344",99,"2026-01-05 00:00:00")
,("63.881.442/0001-99","Norte Atacadista","Rua do Porto, 320 - Porto Velho/RO","contato@norteatacadista.com","(69) 99774-5566",103,"2025-02-01 13:20:00")
,("82.331.779/0001-47","Omega Comercial","Rua Verdejante, 80 - Teresina/PI","info@omega.com","(86) 99982-8877",104,"2025-02-02 11:10:00")
,("90.114.552/0001-13","União Fornecimentos","Rua das Palmeiras, 920 - Campo Grande/MS","contato@uniaof.com","(67) 99772-9900",105,"2025-02-03 15:55:00")
,("27.941.118/0001-88","Delta Components","Av. Amazonas, 3300 - Belo Horizonte/MG","vendas@delta.com","(31) 98662-1133",106,"2025-02-04 10:05:00")
,("11.225.339/0001-01","Prime Soluções","Rua Aurora, 140 - São Luís/MA","suporte@primesolucoes.com","(98) 99551-2244",107,"2025-02-05 14:35:00")
,("28.445.998/0001-75","Tecno Distribuidora","Av. Sul, 880 - Aracaju/SE","vendas@tecnodistrib.com","(79) 99442-3366",108,"2025-02-06 08:55:00")
,("93.221.554/0001-02","Atlas Importados","Rua Horizonte, 300 - Boa Vista/RR","contato@atlasimp.com","(95) 99122-4477",109,"2025-02-07 12:40:00")
,("74.002.811/0001-55","Master Distribuição","Rua Ouro, 500 - Maceió/AL","suporte@masterdistr.com","(82) 99933-5588",110,"2025-02-08 17:15:00")
